-0.375888	-0.0794272	0.923255
0.928411	-0.143281	0.342816
-0.826075	0.283474	0.487076
-0.787282	-0.278011	0.550361
0.847731	0.174144	0.501026
-0.173028	0.101485	0.979674
0.467554	0.337541	0.816982
0.0607574	0.154783	0.986079
0.688228	-0.725442	0.00871691
-0.255574	-0.596543	0.760801
-0.350236	-0.466182	0.812409
-0.54172	-0.311411	0.780745
-0.701498	-0.711784	0.0355614
-0.0952637	-0.335802	0.937103
-0.0150139	-0.146127	0.989152
-0.00399114	-0.0173958	0.999841
-0.76405	-0.592718	0.254779
-0.828271	0.299111	0.473813
-0.629407	0.0685295	0.774048
0.0134879	0.960953	0.276383
0.0716693	0.0339541	0.99685
0.510508	-0.848336	0.140382
-0.349611	-0.0813668	0.933355
-0.776902	0.443843	0.446573
-0.239085	-0.775971	0.583702
-0.961623	0.150169	0.229633
-0.96184	0.255474	0.0979635
0.536409	0.457719	0.709055
-0.0143872	-0.137951	0.990335
-0.164258	0.0698417	0.983942
-0.71895	-0.693118	0.0519398
-0.0485949	-0.134355	0.989741
0.587866	0.2247	0.777125
-0.259434	0.851005	0.456602
0.71817	-0.396524	0.571839
-0.261003	-0.961336	0.0878132
-0.101088	0.0379993	0.994152
0.321523	0.0615822	0.944897
0.615191	-0.541086	0.573381
0.992451	-0.0940719	0.0786899
-0.0187933	-0.315158	0.948853
0.579581	0.185996	0.793405
-0.0236952	-0.375109	0.926678
0.338545	-0.233643	0.911481
-0.440652	-0.889111	0.123725
0.0322448	-0.293307	0.955474
0.202094	0.414162	0.887484
0.467174	0.582946	0.664773
-0.535858	-0.724485	0.433564
-0.082819	0.00248989	0.996561
-0.483398	-0.158648	0.860905
0.0513876	0.0660806	0.99649
0.888267	-0.345895	0.302221
0.174313	-0.110332	0.97849
0.57994	-0.519632	0.627417
0.510471	-0.195485	0.83738
-0.345546	-0.888974	0.300538
-0.787217	-0.025467	0.61615
-0.341834	-0.906705	0.247054
0.216473	-0.142058	0.965898
-0.358678	0.932155	0.0493633
0.338202	0.261041	0.904145
0.201815	0.168678	0.964789
-0.298883	-0.329513	0.895595
